iso_o,iso_d,year,FLOW,SOURCE_TF,XPTOT_o,IPTOT_o,XPTOT_d,IPTOT_d
PRT,CIV,1962,35714.3,DOTS_IP,1.5024293e+08,2.0888749e+08,6.896432e+07,5.578574e+07
PRT,CMR,1962,285714.4,DOTS_XP,1.5024293e+08,2.0888749e+08,4.9035736e+07,3.635716e+07
PRT,COD,1962,500000.22,DOTS_XP,1.5024293e+08,2.0888749e+08,1.450072e+08,7.578575e+07
PRT,COG,1962,250000.11,DOTS_IP,1.5024293e+08,2.0888749e+08,1.2607148e+07,2.4285724e+07
PRT,COL,1962,107142.91,DOTS_IP,1.5024293e+08,2.0888749e+08,1.8415008e+08,1.9121437e+08
PRT,COM,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,905686.1,1.5741008e+06
PRT,CPV,1962,785714.6,DOTS_XP,1.5024293e+08,2.0888749e+08,178571.5,2.1071438e+06
PRT,CRI,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,3.3675016e+07,3.9964304e+07
PRT,CUB,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.860715e+08,2.7107155e+08
PRT,CYP,1962,500000.22,DOTS_IP,1.5024293e+08,2.0888749e+08,2.1089296e+07,4.450002e+07
PRT,CZSK,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,6.607564e+08,6.231184e+08
PRT,DJI,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,464285.9,1.3214292e+07
PRT,DMA,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.60104e+06,2.647494e+06
PRT,DNK,1962,3.678573e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,5.912145e+08,7.591432e+08
PRT,DOM,1962,39285.73,DOTS_IP,1.5024293e+08,2.0888749e+08,7.578574e+07,4.8348108e+07
PRT,DZA,1962,785714.6,DOTS_XP,1.5024293e+08,2.0888749e+08,2.8991296e+08,2.550958e+08
PRT,ECU,1962,117857.195,DOTS_IP,1.5024293e+08,2.0888749e+08,5.6125024e+07,3.7085732e+07
PRT,EDEU,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.2193934e+08,1.1072862e+08
PRT,EGY,1962,107142.91,DOTS_XP,1.5024293e+08,2.0888749e+08,1.4785722e+08,2.7110726e+08
PRT,ESP,1962,3.082941e+06,ESP TENA JUNGUITO,1.5024293e+08,2.0888749e+08,3.2239693e+08,5.5457165e+08
PRT,ETH,1962,35714.3,DOTS_IP,1.5024293e+08,2.0888749e+08,2.8571442e+07,4.092437e+07
PRT,FIN,1962,892857.56,DOTS_IP,1.5024293e+08,2.0888749e+08,3.9389302e+08,4.3850022e+08
PRT,FJI,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.4107149e+07,1.5464293e+07
PRT,FRA,1962,6.64286e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,2.6233582e+09,2.6569298e+09
PRT,FRO,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,2.82143e+06,4.9285735e+06
PRT,GAB,1962,107142.91,DOTS_IP,1.5024293e+08,2.0888749e+08,2.582144e+07,1.3857149e+07
PRT,GBR,1962,2.4964296e+07,DOTS_IP,1.5024293e+08,2.0888749e+08,3.9592876e+09,4.4772874e+09
PRT,GHA,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.1521434e+08,1.19000056e+08
PRT,GIB,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,964286.1,1.5985721e+07
PRT,GIN,1962,1.7857151e+06,DOTS_XP,1.5024293e+08,2.0888749e+08,1.7142864e+07,2.3571438e+07
PRT,GLP,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.6022734e+07,2.0544336e+07
PRT,GMB,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,3.5680088e+06,2.8928585e+06
PRT,GNB,1962,,DOTS_IP,1.5024293e+08,2.0888749e+08,2.7566478e+06,4.2558945e+06
PRT,GNQ,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,8.928575e+06,8.571432e+06
PRT,GRC,1962,571428.8,DOTS_IP,1.5024293e+08,2.0888749e+08,8.867861e+07,2.487144e+08
PRT,GRD,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.2639541e+06,3.1914515e+06
PRT,GRL,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,3.1785728e+06,9.21429e+06
PRT,GTM,1962,35714.3,DOTS_IP,1.5024293e+08,2.0888749e+08,5.2864308e+07,4.8964308e+07
PRT,GUF,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,250000.11,3.07143e+06
PRT,GUY,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,3.2900014e+07,2.6308264e+07
PRT,HKG,1962,178571.5,DOTS_IP,1.5024293e+08,2.0888749e+08,2.5553584e+08,4.1307165e+08
PRT,HND,1962,35714.3,DOTS_IP,1.5024293e+08,2.0888749e+08,2.8571442e+07,2.8785728e+07
PRT,HTI,1962,7142.8604,DOTS_IP,1.5024293e+08,2.0888749e+08,1.6750007e+07,1.3480525e+07
PRT,HUN,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,2.647012e+08,2.7488202e+08
PRT,IDN,1962,214285.81,DOTS_XP,1.5024293e+08,2.0888749e+08,2.4342867e+08,2.3110726e+08
